iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,20,cc83be85db391e9396e1427b3e124968,43.793275117874146
1,1,20,20,cc83be85db391e9396e1427b3e124968,43.00804114341736
2,1,20,20,cc83be85db391e9396e1427b3e124968,45.34530472755432
3,1,20,20,cc83be85db391e9396e1427b3e124968,43.62789511680603
4,1,20,20,cc83be85db391e9396e1427b3e124968,43.3811297416687
0,1,20,40,cc83be85db391e9396e1427b3e124968,47.08534026145935
1,1,20,40,cc83be85db391e9396e1427b3e124968,45.03748083114624
2,1,20,40,cc83be85db391e9396e1427b3e124968,45.816824436187744
3,1,20,40,cc83be85db391e9396e1427b3e124968,47.33512043952942
4,1,20,40,cc83be85db391e9396e1427b3e124968,45.691837787628174
0,1,20,60,cc83be85db391e9396e1427b3e124968,52.493823766708374
1,1,20,60,cc83be85db391e9396e1427b3e124968,50.14012622833252
2,1,20,60,cc83be85db391e9396e1427b3e124968,51.561519145965576
3,1,20,60,cc83be85db391e9396e1427b3e124968,50.64136028289795
4,1,20,60,cc83be85db391e9396e1427b3e124968,51.30324602127075
0,1,20,80,cc83be85db391e9396e1427b3e124968,58.176045417785645
1,1,20,80,cc83be85db391e9396e1427b3e124968,57.411821603775024
2,1,20,80,cc83be85db391e9396e1427b3e124968,57.2634813785553
3,1,20,80,cc83be85db391e9396e1427b3e124968,58.870922327041626
4,1,20,80,cc83be85db391e9396e1427b3e124968,58.0802059173584
0,1,20,100,cc83be85db391e9396e1427b3e124968,65.13476037979126
1,1,20,100,cc83be85db391e9396e1427b3e124968,62.082297801971436
2,1,20,100,cc83be85db391e9396e1427b3e124968,66.04641032218933
3,1,20,100,cc83be85db391e9396e1427b3e124968,64.26767539978027
4,1,20,100,cc83be85db391e9396e1427b3e124968,64.89731955528259
