iteration,loss,delay,jitter,md5_hash,ttc
0,1,20,0,cc83be85db391e9396e1427b3e124968,48.45999360084534
1,1,20,0,cc83be85db391e9396e1427b3e124968,49.97571849822998
2,1,20,0,cc83be85db391e9396e1427b3e124968,49.573877811431885
3,1,20,0,cc83be85db391e9396e1427b3e124968,49.885300159454346
4,1,20,0,cc83be85db391e9396e1427b3e124968,48.91556358337402
0,2,20,0,cc83be85db391e9396e1427b3e124968,54.22770357131958
1,2,20,0,cc83be85db391e9396e1427b3e124968,53.291003704071045
2,2,20,0,cc83be85db391e9396e1427b3e124968,51.996445417404175
3,2,20,0,cc83be85db391e9396e1427b3e124968,55.07911801338196
4,2,20,0,cc83be85db391e9396e1427b3e124968,55.58042311668396
0,3,20,0,cc83be85db391e9396e1427b3e124968,62.46624565124512
1,3,20,0,cc83be85db391e9396e1427b3e124968,59.221463680267334
2,3,20,0,cc83be85db391e9396e1427b3e124968,60.12024784088135
3,3,20,0,cc83be85db391e9396e1427b3e124968,60.112643241882324
4,3,20,0,cc83be85db391e9396e1427b3e124968,59.247836112976074
0,4,20,0,cc83be85db391e9396e1427b3e124968,68.74197292327881
1,4,20,0,cc83be85db391e9396e1427b3e124968,71.59606313705444
2,4,20,0,cc83be85db391e9396e1427b3e124968,70.41873049736023
3,4,20,0,b075bd655f377629c910984c90f0bfc8,112.91681671142578
4,4,20,0,9680cfc61e62fee65215bbc12a6f2922,68.37405371665955
0,5,20,0,cc83be85db391e9396e1427b3e124968,72.61656618118286
1,5,20,0,cc83be85db391e9396e1427b3e124968,76.81064701080322
2,5,20,0,cc83be85db391e9396e1427b3e124968,74.33230376243591
3,5,20,0,cc83be85db391e9396e1427b3e124968,77.13235878944397
4,5,20,0,cc83be85db391e9396e1427b3e124968,75.64765048027039
